REQUEST_ID,CREATED_ON,REQUEST_TYPE,REQUEST_ORIGIN,STATUS,DEPARTMENT,NEIGHBORHOOD,COUNCIL_DISTRICT,WARD,TRACT,PUBLIC_WORKS_DIVISION,PLI_DIVISION,POLICE_ZONE,FIRE_ZONE,X,Y,GEO_ACCURACY
201249,2017-12-01T10:12:00,Prostitution,Call Center,1,,Mount Washington,2,19,42003191500,5,19,3,27-Apr,-80.00893701,40.42296905,APPROXIMATE
200057,2017-11-21T16:12:00,Prostitution,Call Center,0,,Banksville,2,20,42003202300,5,20,6,9-Apr,-80.04102657,40.40774271,APPROXIMATE
193997,2017-10-17T16:35:00,Prostitution,Website,0,,Perry South,6,26,42003261500,1,26,1,23-Jan,-80.00988045,40.47342936,APPROXIMATE
193415,2017-10-13T17:39:00,Prostitution,Report2Gov iOS,0,,East Allegheny,1,23,42003563200,1,23,1,20-Jan,-79.99766781,40.45303795,APPROXIMATE
191556,2017-10-05T07:45:00,Prostitution,Call Center,0,,Homewood South,9,13,42003130400,2,13,5,17-Mar,-79.88891787,40.45433703,APPROXIMATE
188677,2017-09-21T18:52:00,Prostitution,Call Center,1,,Beechview,4,19,42003191600,5,19,6,28-Apr,-80.02421571,40.41359418,APPROXIMATE
187612,2017-09-18T13:10:00,Prostitution,Call Center,0,,Allentown,3,18,42003180300,5,18,3,5-Apr,-79.99441031,40.4248088,APPROXIMATE
187751,2017-09-18T17:23:00,Prostitution,Call Center,0,,Bloomfield,7,8,42003080600,2,8,5,23-Mar,-79.93959817,40.46143964,APPROXIMATE
169625,2017-07-13T08:57:00,Prostitution,Call Center,0,,East Allegheny,1,23,42003563200,1,23,1,20-Jan,-79.99804307,40.45279774,APPROXIMATE
166275,2017-06-29T16:14:00,Prostitution,Call Center,0,,Friendship,9,8,42003080700,2,8,5,23-Mar,-79.93350807,40.46301967,APPROXIMATE
156523,2017-05-24T15:56:00,Prostitution,Call Center,0,,East Allegheny,1,23,42003563200,1,23,1,20-Jan,-79.99759294,40.45276102,APPROXIMATE
155928,2017-05-23T11:15:00,Prostitution,Call Center,0,,Carrick,4,29,42003290200,3,29,3,12-Apr,-79.98260254,40.39186656,APPROXIMATE
148476,2017-04-26T18:09:00,Prostitution,Call Center,0,,Garfield,9,10,42003101700,2,10,5,4-Mar,-79.93827872,40.46642047,APPROXIMATE
145512,2017-04-16T19:29:00,Prostitution,Website,0,,East Allegheny,1,23,42003563200,1,23,1,5-Jan,-79.99702136,40.45744447,APPROXIMATE
140973,2017-03-24T14:35:00,Prostitution,Report2Gov iOS,0,,East Allegheny,1,23,42003563200,1,23,1,5-Jan,-79.99725539,40.45754867,APPROXIMATE
135162,2017-02-26T17:02:00,Prostitution,Website,0,,East Allegheny,1,23,42003563200,1,23,1,5-Jan,-79.99718358,40.45749186,APPROXIMATE
131393,2017-02-10T18:56:00,Prostitution,Call Center,0,,East Allegheny,1,23,42003563200,1,23,1,20-Jan,-79.99760607,40.45288193,APPROXIMATE
130476,2017-02-07T11:20:00,Prostitution,Website,0,,East Allegheny,1,23,42003563200,1,23,1,5-Jan,-79.99716022,40.45712443,APPROXIMATE
121491,2016-12-16T17:18:00,Prostitution,Call Center,0,,East Allegheny,1,23,42003563200,1,23,1,5-Jan,-79.9972672,40.45708359,APPROXIMATE
118612,2016-12-01T10:30:00,Prostitution,Website,0,,East Liberty,9,8,42003111500,2,8,5,23-Mar,-79.93014079,40.46121545,APPROXIMATE
117833,2016-11-26T09:50:00,Prostitution,Report2Gov iOS,0,,East Allegheny,1,23,42003563200,1,23,1,20-Jan,-79.9979545,40.45291888,APPROXIMATE
116057,2016-11-14T12:48:00,Prostitution,Control Panel,0,,Banksville,2,20,42003202300,5,20,6,9-Apr,-80.04555387,40.40283849,APPROXIMATE
113655,2016-10-31T11:00:00,Prostitution,Call Center,0,,East Allegheny,1,23,42003563200,1,23,1,20-Jan,-79.99788831,40.45291293,APPROXIMATE
107031,2016-09-27T09:11:00,Prostitution,Call Center,0,,East Allegheny,1,23,42003563200,1,23,1,20-Jan,-79.99766804,40.45305887,APPROXIMATE
112867,2016-10-25T16:09:00,Prostitution,Call Center,0,,East Allegheny,1,23,42003563200,1,23,1,5-Jan,-79.99692,40.45719059,APPROXIMATE
112865,2016-10-25T16:08:00,Prostitution,Call Center,0,,East Allegheny,1,23,42003563200,1,23,1,5-Jan,-79.99728242,40.45726126,APPROXIMATE
112835,2016-10-25T14:53:00,Prostitution,Call Center,0,,Allegheny Center,1,22,42003562700,1,22,1,6-Jan,-80.00509669,40.45232568,APPROXIMATE
110922,2016-10-14T17:49:00,Prostitution,Report2Gov iOS,0,,East Allegheny,1,23,42003563200,1,23,1,5-Jan,-79.99703233,40.45732906,APPROXIMATE
110457,2016-10-12T17:22:00,Prostitution,Report2Gov iOS,0,,East Allegheny,1,23,42003563200,1,23,1,5-Jan,-79.99723392,40.45740592,APPROXIMATE
110482,2016-10-12T21:15:00,Prostitution,Website,0,,Hazelwood,5,15,42003562900,3,15,4,13-Feb,-79.94874518,40.4109193,APPROXIMATE
108108,2016-10-02T10:24:00,Prostitution,Report2Gov iOS,0,,East Allegheny,1,23,42003563200,1,23,1,5-Jan,-79.99729776,40.45733834,APPROXIMATE
107418,2016-09-28T12:48:00,Prostitution,Call Center,0,,East Allegheny,1,23,42003563200,1,23,1,20-Jan,-79.99786553,40.45293396,APPROXIMATE
106718,2016-09-26T10:23:00,Prostitution,Call Center,0,,Perry North,1,26,42003260200,1,26,1,15-Jan,-80.01870013,40.49353867,APPROXIMATE
106020,2016-09-21T17:22:00,Prostitution,Report2Gov iOS,0,,East Allegheny,1,23,42003563200,1,23,1,5-Jan,-79.99719521,40.45752928,APPROXIMATE
105921,2016-09-21T13:01:00,Prostitution,Call Center,0,,Troy Hill,1,24,42003240600,1,24,1,2-Jan,-79.98398745,40.46245421,APPROXIMATE
99309,2016-08-24T11:52:00,Prostitution,Call Center,0,,Brookline,4,19,42003191800,5,19,6,26-Apr,-80.02609798,40.39271093,APPROXIMATE
99441,2016-08-24T15:43:00,Prostitution,Call Center,0,,East Liberty,9,11,42003111500,2,11,5,8-Mar,-79.92482332,40.46501859,APPROXIMATE
95650,2016-08-10T15:26:00,Prostitution,Call Center,0,,Highland Park,7,11,42003980100,2,11,5,9-Mar,-79.9162938,40.48263958,APPROXIMATE
95335,2016-08-09T16:08:00,Prostitution,Report2Gov Android,0,,East Allegheny,1,23,42003563200,1,23,1,5-Jan,-79.99714723,40.45734484,APPROXIMATE
193139,2017-10-12T15:47:00,Prostitution,Call Center,3,,Manchester,6,21,42003210700,1,21,1,8-Jan,-80.02344069,40.45304075,APPROXIMATE
187277,2017-09-15T16:22:00,Prostitution,Call Center,3,,Beechview,4,19,42003191600,5,19,6,28-Apr,-80.02784208,40.41233678,APPROXIMATE
176020,2017-08-03T07:04:00,Prostitution,Call Center,3,,Homewood South,9,13,42003130400,2,13,5,17-Mar,-79.88864504,40.45428565,APPROXIMATE
126107,2017-01-18T13:14:00,Prostitution,Website,3,,East Allegheny,1,23,42003563200,1,23,1,5-Jan,-79.99701865,40.45735242,APPROXIMATE
161262,2017-06-12T14:13:00,Prostitution,Call Center,3,,East Allegheny,1,23,42003563200,1,23,1,20-Jan,-79.99775077,40.4527722,APPROXIMATE
131394,2017-02-10T18:57:00,Prostitution,Call Center,3,,East Allegheny,1,23,42003563200,1,23,1,5-Jan,-79.99689641,40.45753583,APPROXIMATE
98370,2016-08-22T07:22:00,Prostitution,Call Center,3,,South Side Flats,3,17,42003170200,3,17,3,24-Apr,-79.98533452,40.42723656,APPROXIMATE
191553,2017-10-05T07:16:00,Prostitution,Call Center,1,,Homewood South,9,13,42003130400,2,13,5,17-Mar,-79.88887468,40.45411174,APPROXIMATE
