GEO_ID,GEO_ID_TRIMMED,Geographic_Area_Name,Estimate_B27015_001E,Margin of Error Total B27015_001M,"Under $25,000_B27015_002E","Under $25,000_B27015_002M","Under $25,000_B27015_003E_With health insurance coverage","Under $25,000_CoverageRate_With health insurance ",Margin of Error_B27015_003M_With health insurance coverage,"Under $25,000_B27015_004E_With health insurance coverage_With private health insurance","Under $25,000_B27015_004M_With health insurance coverage_With private health insurance","Under $25,000_B27015_005E_With health insurance coverage_With private health insurance","Under $25,000_B27015_005M_With health insurance coverage_With public coverage","Under $25,000_B27015_006E_No health insurance coverage","Under $25,000_B27015_006M_No health insurance coverage","$25,000 to $49,999_B27015_007E","$25,000 to $49,999_B27015_007M","$25,000 to $49,999_B27015_008E_With health insurance coverage","25,000 to $49,999_B27015_008M_With health insurance coverage","$25,000 to $49,999_B27015_009E_With health insurance coverage_With private health insurance","$25,000 to $49,999_B27015_009M_With health insurance coverage_With private health insurance","$25,000 to $49,999_B27015_010E_With health insurance coverage_With public coverage","$25,000 to $49,999_B27015_010M_With health insurance coverage_With public coverage","$25,000 to $49,999_B27015_011E_No health insurance coverage","$25,000 to $49,999_B27015_011M_No health insurance coverage","$50,000 to $74,999_B27015_012E","$50,000 to $74,999_B27015_012M","$50,000 to $74,999_B27015_013E_With health insurance coverage","$50,000 to $74,999_B27015_013M_With health insurance coverage","$50,000 to $74,999_B27015_014E_With health insurance coverage_With private health insurance","$50,000 to $74,999_B27015_014M_With health insurance coverage_With private health insurance","$50,000 to $74,999_B27015_015E_With health insurance coverage_With public coverage","$50,000 to $74,999_B27015_015M_With health insurance coverage_With public coverage","$50,000 to $74,999_B27015_016E_No health insurance coverage","$50,000 to $74,999_B27015_016M_No health insurance coverage"
1400000US42001030101,42001030101,"Census Tract 301.01, Adams County, Pennsylvania",2689,18,234,109,194,0.829059829,101,117,51,112,93,40,45,396,109,328,92,287,89,126,46,68,48,469,155,455,151,400,140,168,76,14,14
1400000US42001030102,42001030102,"Census Tract 301.02, Adams County, Pennsylvania",5851,20,272,156,254,,143,110,83,219,132,18,28,792,279,685,252,464,171,492,188,107,87,748,283,694,278,480,247,308,153,54,52
1400000US42001030200,42001030200,"Census Tract 302, Adams County, Pennsylvania",5499,231,790,226,606,0.767088608,178,201,66,545,176,184,140,993,240,861,211,615,173,460,128,132,62,1166,228,1078,210,930,206,285,84,88,56
1400000US42001030300,42001030300,"Census Tract 303, Adams County, Pennsylvania",4132,146,156,89,100,0.641025641,68,66,51,84,62,56,46,672,202,600,187,461,156,267,93,72,58,779,230,723,224,604,201,315,112,56,58
1400000US42001030400,42001030400,"Census Tract 304, Adams County, Pennsylvania",5547,175,619,203,566,0.914378029,186,213,154,482,167,53,50,794,237,681,226,481,208,363,152,113,85,1151,457,1127,448,935,389,321,174,24,29
1400000US42001030500,42001030500,"Census Tract 305, Adams County, Pennsylvania",3824,192,412,146,356,0.86407767,133,182,119,293,105,56,83,786,201,669,183,493,149,371,104,117,119,827,161,713,150,587,121,374,115,114,52
1400000US42001030600,42001030600,"Census Tract 306, Adams County, Pennsylvania",4372,129,450,178,434,0.964444444,180,164,87,362,160,16,18,905,320,885,316,648,296,479,166,20,21,936,318,873,291,758,254,287,117,63,59
1400000US42001030700,42001030700,"Census Tract 307, Adams County, Pennsylvania",6661,286,577,177,553,0.958405546,176,345,174,448,145,24,23,1239,437,1127,408,729,233,699,339,112,85,1083,323,1064,322,855,268,382,180,19,18
1400000US42001030800,42001030800,"Census Tract 308, Adams County, Pennsylvania",7410,254,730,209,712,0.975342466,209,281,91,600,179,18,17,1282,194,1188,173,871,146,608,106,94,82,1551,243,1394,220,1095,180,579,118,157,104
1400000US42001030900,42001030900,"Census Tract 309, Adams County, Pennsylvania",7320,264,606,163,587,0.968646865,163,290,112,531,161,19,17,1888,372,1723,343,1127,323,1048,301,165,83,1574,342,1507,324,1106,281,663,241,67,43
1400000US42001031000,42001031000,"Census Tract 310, Adams County, Pennsylvania",1865,114,69,27,50,0.724637681,24,22,15,50,24,19,23,379,137,347,119,255,110,203,62,32,35,372,127,360,124,310,112,79,41,12,13
1400000US42001031101,42001031101,"Census Tract 311.01, Adams County, Pennsylvania",5118,228,603,189,566,0.938640133,185,221,131,509,165,37,40,1089,402,1008,396,892,396,492,181,81,67,1784,449,1687,445,1494,435,381,204,97,116
1400000US42001031102,42001031102,"Census Tract 311.02, Adams County, Pennsylvania",3244,165,255,112,248,0.97254902,112,135,64,205,95,7,11,493,174,485,173,427,166,277,96,8,14,332,133,315,127,295,124,91,55,17,20
1400000US42001031201,42001031201,"Census Tract 312.01, Adams County, Pennsylvania",3642,60,105,54,94,0.895238095,51,41,29,69,39,11,17,642,197,618,191,582,182,365,111,24,38,517,202,517,202,390,138,331,158,0,10
1400000US42001031202,42001031202,"Census Tract 312.02, Adams County, Pennsylvania",2728,19,148,56,136,0.918918919,53,96,52,104,45,12,17,351,107,325,108,258,86,161,69,26,26,429,153,389,141,325,122,133,63,40,38
